Model,Accuracy,Sensitivity,Specificity,Precision,F1-Score,AUC,Params_M,Inference_ms
VGG16,0.8974358974358975,0.982051282051282,0.7564102564102564,0.8704545454545455,0.9228915662650602,0.9680254218715757,14.864577,19.928839206695557
VGG19,0.844551282051282,0.7794871794871795,0.9529914529914529,0.9650793650793651,0.8624113475177305,0.9689349112426036,20.174273,14.472935199737549
EfficientNetB0,0.625,1.0,0.0,0.625,0.7692307692307693,0.6583333333333333,4.39914,10.233514308929443
